Gap,AM,CBD,porous,x,y,z,res,tliq,tam,tsol,CC/AM,CC/CBD,El/Sep,output_porosity,Active_Surface
1.0,93.0,7.0,40.0,50.0,50.0,96.2,1.0,6.982000000000001,3.9559999999999995,2.095,32.28,20.13,45.17999999999999,36.199999999999996,56.5
1.0,94.0,6.0,40.0,50.0,50.0,97.1,1.0,6.014,3.7090000000000005,2.143,31.340000000000003,18.67,48.34,37.10000000000001,58.8
1.0,95.0,5.0,40.0,50.0,50.0,97.9,1.0,5.529,3.3649999999999998,2.154000000000001,34.21,15.770000000000001,45.400000000000006,37.89999999999999,59.8
1.0,96.0,4.0,40.0,50.0,50.0,98.8,1.0,4.808,3.0510000000000006,2.168,36.18,12.629999999999999,46.209999999999994,38.800000000000004,62.2
11.0,93.0,7.0,40.0,50.0,50.0,96.1,1.0,7.066000000000001,3.9910000000000005,2.096,34.1,20.02,44.290000000000006,36.10000000000001,56.389999999999986
11.0,94.0,6.0,40.0,50.0,50.0,97.0,1.0,6.516,3.6060000000000003,2.103,33.87,17.990000000000002,44.60999999999999,37.0,57.39999999999999
11.0,95.0,5.0,40.0,50.0,50.0,97.8,1.0,5.557,3.344,2.146,37.55,14.920000000000002,42.760000000000005,37.800000000000004,59.7
11.0,96.0,4.0,40.0,50.0,50.0,98.7,1.0,4.788,3.038,2.165,35.239999999999995,12.49,48.17,38.699999999999996,62.06
21.0,93.0,7.0,40.0,50.0,50.0,96.1,1.0,7.158999999999999,4.005,2.094,30.57,20.7,47.07,36.10000000000001,56.39999999999999
21.0,94.0,6.0,40.0,50.0,50.0,97.0,1.0,6.417999999999999,3.5520000000000005,2.0970000000000004,31.669999999999998,18.58,45.17,37.0,57.39999999999999
21.0,95.0,5.0,40.0,50.0,50.0,97.8,1.0,5.503,3.279,2.132,33.67999999999999,15.819999999999999,47.0,37.800000000000004,59.7
21.0,96.0,4.0,40.0,50.0,50.0,98.7,1.0,4.795,3.059,2.1670000000000003,36.8,12.760000000000002,46.44,38.699999999999996,62.080000000000005
31.0,93.0,7.0,40.0,50.0,50.0,96.3,1.0,7.048,4.017,2.104,32.519999999999996,19.91,44.849999999999994,36.300000000000004,56.5
31.0,94.0,6.0,40.0,50.0,50.0,97.1,1.0,6.042,3.678,2.141,34.53,17.699999999999996,44.72,37.10000000000001,58.8
31.0,95.0,5.0,40.0,50.0,50.0,98.0,1.0,5.47,3.3270000000000004,2.1470000000000002,35.03000000000001,15.770000000000001,45.32000000000001,38.0,59.86999999999999
31.0,96.0,4.0,40.0,50.0,50.0,98.8,1.0,4.7989999999999995,3.043,2.164,36.989999999999995,12.8,45.75,38.800000000000004,62.2
41.0,93.0,7.0,40.0,50.0,50.0,96.5,1.0,6.869,4.016,2.105,30.330000000000002,20.71,46.21000000000001,36.5,56.81
41.0,94.0,6.0,40.0,50.0,50.0,97.3,1.0,5.861999999999999,3.694,2.152,32.290000000000006,17.7,46.72,37.300000000000004,59.10000000000001
41.0,95.0,5.0,40.0,50.0,50.0,98.2,1.0,5.162000000000001,3.375,2.184,34.32000000000001,15.460000000000003,47.86,38.199999999999996,61.48
41.0,96.0,4.0,40.0,50.0,50.0,99.0,1.0,4.49,3.1780000000000004,2.229,36.589999999999996,12.239999999999998,48.54,39.0,63.89999999999999
51.0,93.0,7.0,40.0,50.0,50.0,96.9,1.0,6.829000000000001,4.065,2.1249999999999996,30.24,20.729999999999997,45.95,36.89999999999999,57.3
51.0,94.0,6.0,40.0,50.0,50.0,97.7,1.0,5.8420000000000005,3.7060000000000004,2.1590000000000003,34.480000000000004,17.4,44.300000000000004,37.699999999999996,59.60000000000001
51.0,95.0,5.0,40.0,50.0,50.0,98.5,1.0,5.021,3.442,2.213,33.510000000000005,14.690000000000001,47.75,38.5,61.89999999999999
51.0,96.0,4.0,40.0,50.0,50.0,99.4,1.0,4.427000000000001,3.157,2.2280000000000006,35.07,12.84,49.379999999999995,39.39999999999999,64.36999999999998
61.0,93.0,7.0,40.0,50.0,50.0,97.3,1.0,6.1690000000000005,4.234,2.1730000000000005,30.3,19.709999999999997,47.67999999999999,37.300000000000004,59.10000000000001
61.0,94.0,6.0,40.0,50.0,50.0,98.2,1.0,5.394,3.899,2.221,33.75,17.21,46.769999999999996,38.199999999999996,61.470000000000006
61.0,95.0,5.0,40.0,50.0,50.0,99.0,1.0,4.760999999999999,3.537,2.246,32.76,15.26,50.59,39.0,63.879999999999995
61.0,96.0,4.0,40.0,50.0,50.0,99.9,1.0,4.372999999999999,3.2039999999999997,2.2569999999999997,34.989999999999995,12.57,48.04,39.89999999999999,65.0
71.0,93.0,7.0,40.0,50.0,50.0,97.9,1.0,5.961999999999999,4.299,2.2060000000000004,31.03,19.84,45.11,37.89999999999999,59.89999999999999
71.0,94.0,6.0,40.0,50.0,50.0,98.8,1.0,5.261,3.9579999999999997,2.254,32.14,17.230000000000004,47.9,38.800000000000004,62.29
71.0,95.0,5.0,40.0,50.0,50.0,99.6,1.0,4.6,3.594,2.279,33.75,14.64,47.980000000000004,39.60000000000001,64.70000000000002
71.0,96.0,4.0,40.0,50.0,50.0,100.0,1.0,4.091000000000001,3.3240000000000003,2.3270000000000004,32.67,12.620000000000001,52.75,40.5,67.20000000000002
81.0,93.0,7.0,40.0,50.0,50.0,98.6,1.0,5.473,4.449,2.2689999999999997,31.689999999999998,18.689999999999998,46.3,38.60000000000001,62.10000000000001
81.0,94.0,6.0,40.0,50.0,50.0,99.5,1.0,4.851,4.133,2.3140000000000005,31.929999999999996,16.160000000000004,47.72,39.5,64.5
81.0,95.0,5.0,40.0,50.0,50.0,100.0,1.0,4.276,3.772,2.362,31.240000000000002,14.290000000000001,51.73,40.300000000000004,67.01
81.0,96.0,4.0,40.0,50.0,50.0,101.0,1.0,3.821,3.4589999999999996,2.395,34.529999999999994,12.349999999999998,50.8,41.199999999999996,69.60000000000001
91.0,93.0,7.0,40.0,50.0,50.0,99.4,1.0,5.013,4.725,2.3529999999999998,29.3,19.150000000000002,49.15,39.39999999999999,64.5
91.0,94.0,6.0,40.0,50.0,50.0,100.0,1.0,4.462999999999999,4.2700000000000005,2.3950000000000005,33.230000000000004,15.77,48.13,40.300000000000004,67.0
91.0,95.0,5.0,40.0,50.0,50.0,101.0,1.0,3.9900000000000007,4.039,2.4720000000000004,33.01,13.830000000000002,50.35999999999999,41.10000000000001,69.60000000000001
91.0,96.0,4.0,40.0,50.0,50.0,102.0,1.0,3.7090000000000005,3.5459999999999994,2.4490000000000003,32.89,11.995999999999999,51.17999999999999,42.0,70.85999999999999
1.0,93.0,7.0,45.0,50.0,50.0,87.7,1.0,13.430000000000001,3.3289999999999993,1.858,34.989999999999995,21.830000000000002,38.959999999999994,32.699999999999996,47.660000000000004
1.0,93.0,7.0,46.0,50.0,50.0,86.0,1.0,16.87,3.1830000000000007,1.812,33.84000000000001,23.34,38.81999999999999,32.0,45.699999999999996
1.0,93.0,7.0,47.0,50.0,50.0,84.2,1.0,18.26,3.2039999999999997,1.8010000000000002,36.17999999999999,22.12,37.660000000000004,31.199999999999996,45.10000000000001
1.0,93.0,7.0,48.0,50.0,50.0,82.5,1.0,25.29,3.1000000000000005,1.7570000000000001,34.129999999999995,24.29,39.17,30.5,43.199999999999996
1.0,93.0,7.0,49.0,50.0,50.0,80.8,1.0,36.309999999999995,2.9399999999999995,1.7129999999999999,34.91,24.73,36.39,29.800000000000004,41.39999999999999
1.0,93.0,7.0,50.0,50.0,50.0,79.1,1.0,39.75,2.9490000000000003,1.7019999999999995,39.22,23.389999999999997,34.839999999999996,29.1,40.89999999999999
1.0,94.0,6.0,45.0,50.0,50.0,88.5,1.0,10.668000000000003,3.0919999999999996,1.8890000000000005,33.11999999999999,20.85,43.62,33.5,49.699999999999996
1.0,94.0,6.0,46.0,50.0,50.0,86.8,1.0,12.959999999999997,2.976,1.842,35.099999999999994,20.54,40.7,32.800000000000004,47.699999999999996
1.0,94.0,6.0,47.0,50.0,50.0,85.1,1.0,13.66,2.957,1.8270000000000004,37.559999999999995,20.07,39.809999999999995,32.10000000000001,47.10000000000001
1.0,94.0,6.0,48.0,50.0,50.0,83.4,1.0,16.720000000000002,2.837,1.777,35.13,21.779999999999998,41.029999999999994,31.4,45.199999999999996
1.0,94.0,6.0,49.0,50.0,50.0,81.6,1.0,21.93,2.7269999999999994,1.736,37.3,21.169999999999998,37.45,30.6,43.300000000000004
1.0,94.0,6.0,50.0,50.0,50.0,79.9,1.0,30.68999999999999,2.656,1.6989999999999998,39.339999999999996,21.270000000000003,33.55,29.9,41.39999999999999
1.0,95.0,5.0,45.0,50.0,50.0,89.4,1.0,8.610000000000001,2.861,1.9169999999999998,34.61,17.64,43.980000000000004,34.39999999999999,51.8
1.0,95.0,5.0,46.0,50.0,50.0,87.6,1.0,9.812999999999999,2.7700000000000005,1.8679999999999999,37.239999999999995,17.650000000000002,41.18000000000001,33.60000000000001,49.800000000000004
1.0,95.0,5.0,47.0,50.0,50.0,85.9,1.0,11.78,2.6559999999999997,1.8189999999999997,38.72,17.199999999999996,39.849999999999994,32.89999999999999,47.800000000000004
1.0,95.0,5.0,48.0,50.0,50.0,84.2,1.0,12.16,2.642,1.807,38.93,17.71,41.17999999999999,32.199999999999996,47.199999999999996
1.0,95.0,5.0,49.0,50.0,50.0,82.5,1.0,15.13,2.562,1.7619999999999998,40.42,18.119999999999997,38.45,31.5,45.27
1.0,95.0,5.0,50.0,50.0,50.0,80.8,1.0,19.43,2.479,1.721,38.809999999999995,18.65,37.64999999999999,30.800000000000004,43.300000000000004
