;X.NMC;S.to.L;calender.gap.um;porosite_before;thickness_before;porosity;sd
1;0.94;60;1;0.487;138;0.255591158;0.002626938
2;0.94;69;1;0.461;178;0.227818643;0.005207558
3;0.94;69;25;0.461;178;0.240706363;0.009965596
4;0.94;60;44;0.487;138;0.284409827;0.006148921
5;0.94;69;44;0.461;178;0.229355107;0.002637905
6;0.94;60;100;0.487;138;0.361272278;0.003464403
7;0.94;69;100;0.461;178;0.300748308;0.003542648
8;0.95;68;1;0.475;170;0.230519726;0.004503152
9;0.95;68;44;0.475;170;0.264956093;0.008205684
10;0.95;68;100;0.475;170;0.329702429;0.01286996
11;0.96;69;5;0.42;180;0.262360108;0.002241246
12;0.96;69;27;0.42;180;0.263233257;0.010362876
13;0.96;69;44;0.42;180;0.288018327;0.004110415
14;0.96;69;100;0.42;180;0.320911602;0.003602464
